date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-03-24,131,118712410.22352591308919045,0,0,52.60255669,10.472875751427686,0.0002518164566609407,0.999879291503439,,-0.019298526770655876,118726741.55,118726741.55,118726739.0221686992146234,181,180,2257052.679843829,2256780.234408186075333136428,16721.41237134,16719.39395479227904275503826,1985.0853125,1984.8456958363828021396875,3009854.226841149999999999,3009490.911862560233731330715,,0.0005979089870442488,0.0006796894432215395
2019-03-25,181,119354332.5319693362551692,716251.52,715996.09373319262477568,19.62571704,11.049332052673932,0.00025577847873093246,0.999643384677484,,-0.0013092232267940072,119396911.3,119396911.3,119396908.7612606992146234,261,259,6083696.76759232,6081527.228107455518106395323,29981.24884452,29970.55707179387904786078768,3002.180359,3001.109735483024014336756,7765143.450730520000000006,7762374.28159445473045440161,,0.0005945535079781871,0.0006789959228492268
2019-03-26,179,119256739.89911154979812999,388931.07,388688.50886318513612277,15.73022539,11.10836047905958,0.0002550884870871981,0.999376339008311,,-0.07145896988765092,119331162.09,119331162.09,119331159.5432606992146234,241,240,7586106.309556801,7581375.150972724625470265573,40190.50854698,40165.44329456310522275395078,3075,3073.082242450556325,9645722.051274179999998998,9639706.390694125889594158335,,0.0005906402569216425,0.0006797808958146584
2019-03-27,204,120089750.4367742775176055,1048174.23,1048226.1970130072716869,11.4166701,11.24707270623246,0.00024833563752401034,1.00004957860203,,-0.02644709734310976,120083796.85,120083796.85,120083794.2850584492146234,323,319,10518285.608427884,10518807.090324102122474791,37904.80662638,37906.6858937027534009195514,7400.2,7400.566891570742406,12091633.313814374436814901,12092232.80009033272978639725,,0.0006027312520941795,0.000680531424415392
2019-03-28,150,118623574.59980008973423675,1616.9,1616.4718611234404591,15.91015681,11.23267900918263,0.00024925225574195625,0.999735210046039,,0.026768938614171678,118654993.25,118654993.25,118654990.6850584492146234,204,201,7457814.193927027,7455839.439649967370194876396,40148.51835556,40137.88743123302890417162684,4057.476,4056.401621116762137564,8069852.189468487688917488,8067715.373678766253013279243,,0.0005847896725748069,0.0006761136238215415
2019-03-29,168,118045758.91056479507086012,100368,100365.705450044143776,22.65824716,11.1831697339058,0.00024452541027795353,0.999977138630282,,0.050911407472486306,118048457.66,118048457.66,118048455.0831787292146234,268,267,5209955.423076165,5209836.316359023756683061429,23118.57475661,23118.04623432513591692566402,2034.80099502,2034.75447668215029350319564,6172659.460013634000000999,6172518.344563575318076804242,,0.0005863295587704654,0.000670410384681871
2019-03-30,135,118080877.3803522555435632,0,0,47.5800698,11.273765146279816,0.00024445289995289686,1.00027463061352,,0.0813327504336515,118048457.66,118048457.66,118048455.0831787292146234,202,206,2481048.4340674863,2481729.805921107089031653195,14867.31443833,14871.3974580155933221042216,1499.6,1500.011836068034592,3062666.774295706133101076,3063507.876350938282242311175,,0.0005885320067298282,0.0006714635664802036
2019-03-31,137,118110635.4647249965728552,34288,34296.09843655875136,37.08832401,11.487758743652208,0.00024429861918770295,1.00023618865372,,-0.0032344379234702644,118082745.66,118082745.66,118082743.0831787292146234,184,186,3183825.3360156612,3184577.31943545436564766364,18834.4856071,18838.934098899049665873412,2838.199558395,2838.8699089276860135739794,3503214.322920891367140941,3504041.742395514673811008389,,0.0005698487036347699,0.0006701234425424409
2019-04-01,192,115199916.29756887364346006,369519.32,369377.97009863839901172,7.48972788,11.042031040498976,0.00024154580874509476,0.999617476289571,,-0.09495040371483662,115243999.86,115243999.86,115243997.2566097792146234,282,283,15386940.855430342,15381054.98572217121430461156,64359.18071709,64334.56180448192818426846839,6000,5997.704857737426,18213648.142935389862738716,18206680.99066730595206480551,,0.0005777662510590644,0.000674447751559941
2019-04-02,327,111483620.87712213404186307,469,468.774885477604363,2.59902522,10.536986347692618,0.00020382895461511802,0.999520011679327,,-0.04723969656339886,111537157.41,111537157.41,111537154.7857987792146234,717,711,42914996.22845654,42894397.53148515501671063595,68725.12983179,68692.14257213400522293040533,5895.39,5892.56028165418760253,48863567.3104053877630177,48840113.36878997418162647775,,0.0005687910990644548,0.0006644316717415046
