date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-14,3083,4670,13535541,2898.40278373,557782109.383078,0.00018924068575813544,1.59383398265176E-8,7.701149706928972,0,0,0,0,0,7.15187003,7.798390110736365,0.0017436426011021736,5.57782109383078,-89.06113855478635,-57.52274254671248,100000000,100000000,52767750,40695,5949,13982357,77991085.81607246354846,2651.55521936,14789.9006340033090056199008,30,167.3346328149234,15774102,87985118.87183829445956,0.06135322579637016,0.07311788304906114,0.05744501460080599
2018-12-15,2867,4692,13991716,2982.03665814,553750645.355603,0.00018882295951761638,1.6002221671774198E-8,8.35522713569724,0,0,0,0,0,48.88366811,7.93656698461039,0.001738580132627083,5.53750645355603,-88.48897179841642,-56.72814546670482,100000000,100000000,52767750,44249,5299,2045673,11327927.43936532455819,584.70447254,3237.8047901133245284864162,30,166.1251936066809,3098349,17157127.58286887199447,0.061301505825609795,0.07322016703776302,0.05730363232062106
2018-12-16,3471,5096,15280824,2998.59183673,563684844.083779,0.00019057563117922432,0,9.48780779825809,0,0,0,0,0,39.21071958,8.31998989153514,0.0017640429257012452,5.63684844083779,-88.6410855318561,-55.00063030809539,100000000,100000000,52767750,49785,6519,2550323,14375784.22618275510617,765.45114281,4314.7320808860530293347899,28,157.83175634345812,4989976,28127738.43541799199304,0.06131990291295257,0.07368836750493035,0.05727162925154021
2018-12-17,3719,4851,16375822,3375.7621109,647678248.016854,0.1512289234785098,0,8206.7399904082,0,0,0,0,0,32.1303722,9.756680167567588,0.0018509553698739282,6.47678248016854,-90.47557933862147,-47.27626009556856,100000000,100000000,52767750,54267,6901,3112320,20157819.6486781504128,851.61295464,5515.7118644969175545750256,30,194.3034744050562,5876981,38063927.57708338637774,0.06231866865746222,0.07964965293073016,0.06073139400388093
2018-12-18,4262,4509,45427625,10074.87802173,674915172.895225,0.00026622612762890494,0,12.806009191206217,0,0,0,0,0,10.77357501,10.241708275209245,0.0018442686799146587,6.74915172895225,-91.34022754860877,-45.5508351601326,100000000,100000000,52767750,48102,7319,9281970,62645423.8735829159325,1484.96693537,10022.2671592893595835660825,38,256.4677657001855,10868473,73352973.33902084741425,0.06241277147406876,0.08028689170229643,0.061133283020993606
2018-12-19,4017,4014,13695521,3411.93846537,659234407.116412,0.0008503982027025107,1.90021355294663E-8,34.814452020406456,0,0,0,0,0,30.29954126,10.498252541317008,0.0017828106553033785,6.59234407116412,-90.70538526378478,-34.14876068055822,100000000,100000000,52767750,40939,8458,3300380,21757240.5255886383656,572.42728777,3773.6376367031170781388124,36,237.32438656190832,4841590,31917427.1315074917508,0.06178723111695642,0.07152167503912817,0.06108867685493779
2018-12-20,3996,5050,10201940,2020.18613861,717287670.877864,0.0013037013948758568,0,31.483084984854063,0,0,0,0,0,6.61385547,11.663975886966924,0.001763357724631963,7.17287670877864,-90.46647922722116,-17.063407221563228,100000000,100000000,52767750,24149,8409,15119774,108452274.76659685282736,2068.06290879,14833.9602707487959666202456,41,294.08794505992424,17390341,124738771.91661824311624,0.06211650667525918,0.06916277221866632,0.062424814372660314
2018-12-21,4601,4776,14263713,2986.53957286,678853615.26374,0.05021181705569246,0,1994.413373452159,0,0,0,0,0,3.07334665,10.854413154451466,0.0017682692518994738,6.7885361526374,-90.46780106315975,-25.385668918042057,100000000,100000000,52767750,39720,10252,32537820,220884167.398008246468,3492.11724542,23706.364169782201956070708,50,339.42680763187,35801186,243037645.4682959479564,0.06191738691433824,0.0688563486425888,0.06253088569365083
2018-12-22,3761,3784,13299439,3514.65089852,701220939.83667,0.0002940972547026017,0,11.415973135791116,0,0,0,0,0,72.42582328,11.572652897318154,0.0017685509948113204,7.0122093983667,-88.22712579241337,-16.165229019966688,100000000,100000000,52767750,38817,6508,1380723,9681918.7971410651241,338.87738168,2376.279160710395364502056,26,182.3174443575342,2205414,15464824.7780894973138,0.06197208030341762,0.0677966814639448,0.0628248609703684
2018-12-23,4317,3578,10767883,3009.46981554,758098084.485328,0.0007294435314740911,0,20.177137524104243,0,0,0,0,0,22.93172995,12.712744916194104,0.0019228052616971718,7.58098084485328,-87.7934710322846,-10.64258467337509,100000000,100000000,52767750,27661,8536,4360770,33058913.8388108378256,1240.97692127,9407.8222690528669392612656,28,212.26746365589184,10592979,80305170.88893305312112,0.062238970798554276,0.06942882995697328,0.06389159970243274
2018-12-24,4993,4218,11442275,2712.72522523,842484578.164565,0.0010410756836941103,0,28.46717349493182,0,0,0,0,0,26.62335225,14.42389378643595,0.0020853342314436003,8.42484578164565,-86.07548987089919,14.615369495195345,100000000,100000000,52767750,27344,9818,3756101,31644571.66528500761065,946.3747199,7973.061066805598579803435,33,278.01991079430645,9291507,78279513.55408102849455,0.06280166251153692,0.06699701235444341,0.06569964158866287
2018-12-25,3069,4291,8169375,1903.83943137,755557463.436781,0.0009022034791684312,0,17.532520210679987,0,0,0,0,0,7.22104351,12.94792487699625,0.0020086151505987583,7.55557463436781,-88.86780489675601,-0.05086198791233174,100000000,100000000,52778339,19433,6235,13848414,104632725.54462406115334,2651.60400962,20034.3919954728504498583322,23,173.77821659045963,16532751,124914434.09191904514531,0.06307828536694526,0.06994174540617844,0.06689325416623824
2018-12-26,4086,4330,8405780,1941.2886836,776565284.882106,0.0006883560045689108,0,13.466996873386055,0,0,0,0,0,7.14541367,13.301058407085119,0.0020394830531852517,7.76565284882106,-87.98325839966067,10.785426624070377,100000000,100000000,52778339,19564,8562,13994991,108680241.72837509531046,2008.65230086,15598.4964624644359074241116,80,621.2522279056848,17198081,133554326.71190534438586,0.06296789747242634,0.06862301392980545,0.06709193847583504
2018-12-27,3387,3810,8431934,2213.10603675,681214510.246543,0.000907519997742464,0,17.467944916546323,0,0,0,0,0,38.14906825,12.80292404075752,0.0018999358755100897,6.81214510246543,-89.75728880800183,-4.855744103493153,100000000,100000000,52778339,19248,6466,2621296,17856648.70851222179728,821.06387256,5593.2062382709039593256008,29,197.55220797149747,5308999,36165671.53684386540457,0.06358195141437221,0.07276416870920174,0.06877368586680234
2018-12-28,3902,4270,8506221,1992.08922717,782064310.208845,0.0007553571711589527,0,15.32544164564333,0,0,0,0,0,38.37877316,15.410993747850073,0.002015081809997444,7.82064310208845,-88.05683039269522,-5.40023512946401,100000000,100000000,52778339,20289,7539,2605607,20377522.41130337993915,811.37591192,6345.481428757873775249324,30,234.6192930626535,6116963,47838584.49168027137735,0.06447449843789962,0.07237505468312617,0.07137477524656524
2018-12-29,3352,4229,8439231,1995.56183495,795396013.22284,0.0014087569500947409,0,27.58768735370661,0,0,0,0,0,44.70976211,15.947576983621031,0.0020804792957334903,7.9539601322284,-89.262204785718,-4.742926360496942,100000000,100000000,52778339,19583,6030,2236648,17790209.0218283864032,731.47512438,5818.123977035330136568392,34,270.4346444957656,4410795,35083287.581432365578,0.06344659393880785,0.07242510400350034,0.07146653270315331
2018-12-30,3404,4374,8637714,1974.78600823,796491435.209827,0.0008966828309195053,0,18.98905231038182,0,0,0,0,0,38.90139353,16.907426619447463,0.0020821087503412787,7.96491435209827,-89.12078856114745,4.4720662284824675,100000000,100000000,52778339,21177,6632,2570602,20474624.76333251705854,604.90545838,4818.0201671134447291550026,29,230.98251621084983,4011733,31953109.74848624900191,0.06344954598612045,0.07043186630989384,0.07142424265698867
2018-12-31,3384,4244,9728037,2292.18590952,737081633.560469,0.08058153615059434,0,2110.8333394649458,0,0,0,0,0,74.86666247,16.118061987583744,0.0019990281122150813,7.37081633560469,-90.310116138172,-8.647711716907038,100000000,100000000,52778339,26195,6595,1335708,9845258.34599786927052,407.56345716,3004.0753878304502555100804,31,228.49530640374539,2687881,19811877.18296146976189,0.06283792796284894,0.07106248468584611,0.07178433177794642
2019-01-01,3148,3599,7491384,2081.5181995,776276963.806464,0.0006072064152305396,0,11.691759525264308,0,0,0,0,0,52.95782703,17.42302301445228,0.002038479369911024,7.76276963806464,-90.19067477434281,-1.4487256329423122,100000000,100000000,52778339,19255,5394,1888295,14658399.0937092693888,607.05265109,4712.4098885880994887864576,30,232.8830891419392,3274442,25418738.93920365593088,0.06300350730250448,0.07163564489086229,0.07209116921924397
2019-01-02,3906,4205,11743944,2792.85231867,797820132.923122,0.0009247323869206968,0,23.624138288662184,0,0,0,0,0,7.83896631,17.75836561357578,0.0020466385691727037,7.97820132923122,-91.16109098397915,9.480639666516034,100000000,100000000,52796226,25547,7264,12756784,101776191.06551555959648,2109.90253304,16833.2271936480460738495088,30,239.3460398769366,15326332,122276562.33463898248504,0.062891734817305,0.0702824067339388,0.07227007400260191
2019-01-03,3533,4114,8341361,2027.55493437,755648235.284562,0.0005162260872917206,0,10.887724407069754,0,0,0,0,0,33.15599298,17.233708515204476,0.0019967511485277515,7.55648235284562,-92.6892105620596,0.8325679562238033,100000000,100000000,52796226,21091,6700,3016046,22790698.37437062081852,726.30910448,5488.3419307142256418903776,26,196.46854117398612,4866271,36771890.93566440808302,0.06295453510959897,0.07087787215647914,0.07197137218569928
2019-01-04,3810,4209,8720692,2071.91541934,755702442.626328,0.0007365658071985864,0,15.489978925385739,0,0,0,0,0,0.95137458,14.512410768161317,0.001974389514659445,7.55702442626328,-92.41967920670213,9.326677367263638,100000000,100000000,52921919,21030,6613,105111070,794326923.4606694625096,16375.62755179,123751.0174042669852443752712,28,211.59668393537184,108292025,818365478.094513774342,0.06291794597511831,0.06920582523900135,0.07196108945474475
2019-01-05,3890,4126,9267016,2246.00484731,774862718.99067,0.0005984544012642342,0,14.878773324231268,0,0,0,0,0,46.56239174,15.011747531184517,0.002039856453355407,7.7486271899067,-91.70652190784692,27.340870379711713,100000000,100000000,52921919,24862,7074,2147656,16641385.6761662636952,509.07379135,3944.623021323500221767045,27.5,213.08724772243425,3601188,27904263.2527657291596,0.06284301425523309,0.06475024262284772,0.07179649228560318
2019-01-06,4086,3023,7953628,2631.03804168,858972505.664069,0.0007176538521179581,0,15.672124822551574,0,0,0,0,0,35.9577324,16.790372250308618,0.0021230198399580353,8.58972505664069,-91.40477779988613,42.502218560017965,100000000,100000000,52921919,21838,7720,2781043,23888394.74069519443967,583.89417098,5015.4903908933492312851762,39,334.99927720898691,4507663,38719585.81799214260747,0.06307243548656469,0.06692282601898389,0.07334068071569647
2019-01-07,4253,4511,9433682,2091.26180448,840840907.120355,0.0006729584460723675,0,17.092471571792107,0,0,0,0,0,18.38780168,16.43223904894652,0.002101567272766028,8.40840907120355,-91.72048251660456,41.936234064311066,100000000,100000000,52921919,25399,8214,5438388,45728190.9919245318774,1014.03542732,8526.424685599256130950986,39,327.92795377693845,8329287,70036052.36745780336885,0.06306543991416245,0.06698653668165483,0.07332847518625454
2019-01-08,4590,5148,11047604,2145.999223,906891515.882833,0.0008107059012086573,0,22.60248052569639,0,0,0,0,0,13.76255248,17.703687681956975,0.0022714179719462305,9.06891515882833,-91.08308957551472,44.73292680018179,100000000,100000000,52921919,27880,9026,7266094,65895590.02207157564302,1037.05118546,9404.9292162990838111320818,36,326.48094571781988,9360424,84888891.10666051201192,0.06314536020778999,0.06752541274917091,0.07414017794284887
2019-01-09,4914,5036,10053546,1996.3355838,909922719.059873,0.0007011172020894162,0,18.207312621059852,0,0,0,0,0,2.99545123,16.931632636061767,0.002272387253068378,9.09922719059873,-92.77493846120319,51.765974526103555,100000000,100000000,52967906,25969,9325,33383952,303768163.76804285358096,3850.34530831,35035.1667225686021953444463,35,318.47295167095555,35904470,326702929.6880363833231,0.06298421247535521,0.0667086768614434,0.07414114684727582
2019-01-10,3835,5054,9342553,1848.54629996,782267500.42502,0.045671329354199514,0,1074.874736351109,0,0,0,0,0,27.80065154,14.824436227165595,0.0021562522575365654,7.8226750042502,-93.53251472677367,36.07904721100214,100000000,100000000,52967946,23535,7745,3597038,28138459.2519381309076,1027.38579729,8036.905196182145865641958,33,258.1482751402566,7957103,62245830.7443442791706,0.06389132956651422,0.07258055282131658,0.0763715709465191
2019-01-11,3755,4927,8387756,1702.40633245,778393901.085851,0.0004750786832883502,0,9.918217671011126,0,0,0,0,0,7.11671896,14.517942399791899,0.0021477903731171506,7.78393901085851,-92.73113876154123,31.167234059479977,100000000,100000000,52969463,20877,6567,14051419,109375388.51201847372569,2588.58306685,20149.3727169014772672213935,32,249.08604834747232,16999225,132320930.63186125465475,0.06383425945757888,0.072514830041164,0.07636766645940665
2019-01-12,3353,4669,7956664,1704.14735489,762496943.400777,0.15665955414094232,0,3150.7369528831764,0,0,0,0,0,127.64968841,14.316950117031647,0.002108079317435671,7.62496943400777,-93.82224863979197,35.32264534458415,100000000,100000000,52969463,20112,5904,783394,5973355.30478508297138,350.2420393,2670.584844167048136845361,25,190.62423585019425,2067829,15767132.91975485303133,0.06336435390195953,0.07183247588691334,0.0763383066734789
2019-01-13,3299,4901,8222603,1677.73984901,705261677.786016,0.0005214091816283918,0,10.534029696438537,0,0,0,0,0,81.11615834,13.355049152950043,0.0020100541118216503,7.05261677786016,-94.9531040420011,26.440354741039364,100000000,100000000,52969463,20203,6002,1232800,8694465.963746005248,457.76574475,3228.44637175350145375416,25,176.315419446504,2747510,19377135.1233385682016,0.06333474701284646,0.07354063491139495,0.0749813374134147
