date,index_value_usd,index_value_btc
2017-11-16,100.460655661935,0.0126604161882308
2017-11-17,98.365728723631,0.0127801641892527
2017-11-18,102.882223305817,0.01322233859994
2017-11-19,103.766572355304,0.0128995675581138
2017-11-20,107.476383652431,0.0130392152492166
2017-11-21,109.691419161487,0.0135431871527805
2017-11-22,119.544110683752,0.014516606660573
2017-11-23,118.473996710553,0.0147852236004683
2017-11-24,121.446261396748,0.0148089484892149
2017-11-25,129.132371402397,0.0147520676165786
2017-11-26,133.108855091461,0.0142865420380056
2017-11-27,141.597010278628,0.0145475533476649
2017-11-28,142.657601296015,0.0143984272381741
2017-11-29,121.928692004127,0.0123781201465257
2017-11-30,128.823875855889,0.0129483724918071
2017-12-01,140.592491963172,0.0129482862371682
2017-12-02,149.526135842645,0.0137016778041053
2017-12-03,158.231209627371,0.0140772216962973
2017-12-04,176.141989460773,0.015147191081779
2017-12-05,185.762371995466,0.0159232487946253
2017-12-06,182.438099981196,0.0132686403997504
2017-12-07,174.195315739049,0.0103449077716011
2017-12-08,184.548685676007,0.0114787357736062
2017-12-09,180.779574458049,0.0121842273570887
2017-12-10,167.907402910878,0.0111561414150252
2017-12-11,189.376941074678,0.0113171802492161
2017-12-12,209.881265045978,0.0122895693316535
2017-12-13,228.181786900247,0.0140102111339259
2017-12-14,253.513371748089,0.0153907042468265
2017-12-15,259.776618602557,0.0147644896615148
2017-12-16,315.962478674699,0.0163419344876815
2017-12-17,343.868442247551,0.0180564575874564
2017-12-18,402.947718083559,0.0212470145169979
2017-12-19,409.14052830897,0.0233689494101207
2017-12-20,456.275760528045,0.0277065079764762
2017-12-21,511.944728822324,0.0326533055679466
2017-12-22,426.971446513576,0.0312835117917109
2017-12-23,528.514716063204,0.0368015449995651
2017-12-24,542.293296770518,0.0392125077204343
2017-12-25,548.067594191524,0.0396188954624989
2017-12-26,565.82844558387,0.0359571437294459
2017-12-27,542.197737373621,0.0351696437987539
2017-12-28,520.800831883906,0.036124503922423
2017-12-29,530.029682276818,0.0369059558195565
2017-12-30,480.420213627402,0.0383369466455308
2017-12-31,562.72746616477,0.0406316088064385
2018-01-01,568.98891126015,0.0423217236107121
2018-01-02,621.676797424844,0.0421129754686213
2018-01-03,690.307998186665,0.0455833584163262
2018-01-04,681.26887670451,0.0448508902583939
2018-01-05,691.098771516117,0.0407791403213313
2018-01-06,776.544978715871,0.0452104173390609
2018-01-07,773.196550860886,0.0476887065004145
2018-01-08,755.114105281664,0.0504380841020916
2018-01-09,747.330640659243,0.0515597079892706
2018-01-10,732.028822252334,0.0490506409334488
2018-01-11,657.732564836114,0.0494236248435996
2018-01-12,733.462076200518,0.0529557535737429
2018-01-13,757.85938696629,0.0532037243175104
2018-01-14,693.336879629884,0.0508374110322888
2018-01-15,658.848548372989,0.0482728805512278
2018-01-16,478.114666183383,0.0423408583553886
2018-01-17,505.609824284617,0.0452269599937579
2018-01-18,481.695865226943,0.0432016941117068
2018-01-19,514.896744464081,0.0446890704600757
2018-01-20,587.998193305381,0.045995068289227
2018-01-21,514.003278604516,0.0444857710143744
2018-01-22,473.863623516717,0.0438296315786924
2018-01-23,487.095161474477,0.0448673458526978
2018-01-24,507.728798473664,0.0444500006105215
2018-01-25,503.725162916294,0.0450826530327281
2018-01-26,502.767416371447,0.0452805736966083
2018-01-27,522.807581478384,0.0456144761459628
2018-01-28,537.351166977189,0.0456609385881202
2018-01-29,510.177329276699,0.0453847986439732
2018-01-30,441.969893475045,0.0437327227626561
2018-01-31,449.858358046424,0.0439779921583495
2018-02-01,385.09800000341,0.0422484961720986
2018-02-02,367.355958538859,0.0413934799750368
2018-02-03,394.662081769878,0.0426621584531918
2018-02-04,329.125405410734,0.0399770924298067
2018-02-05,258.195683888846,0.0371112110054613
2018-02-06,303.397662462638,0.0393833693501354
2018-02-07,298.502629949039,0.0392842085386191
2018-02-08,328.996551364512,0.0398267640311539
2018-02-09,347.742945658859,0.0399781734471553
2018-02-10,332.993952828118,0.0388447108207369
2018-02-11,304.732750476397,0.037684040907139
2018-02-12,330.687321795383,0.0370957337480224
2018-02-13,313.649471273041,0.0366980982564181
2018-02-14,356.020818591566,0.037537476616001
2018-02-15,359.171077367747,0.0357800344248929
2018-02-16,370.58312724489,0.0363756865899422
2018-02-17,386.109592126033,0.0348060646439235
2018-02-18,354.991663356183,0.0341021381443951
2018-02-19,370.813584536693,0.0331623630391542
2018-02-20,340.144973376629,0.0302163074865975
2018-02-21,314.985113102641,0.0300631463860616
2018-02-22,297.543433613508,0.0302286919961545
2018-02-23,324.441018364763,0.0318923952903486
2018-02-24,312.309088653274,0.0322088334670541
2018-02-25,313.566970125154,0.0326250615296017
2018-02-26,325.765351246542,0.0315352109247094
2018-02-27,334.56656343497,0.0316020878197925
2018-02-28,314.057777454467,0.0303900216614349
2018-03-01,336.394558068524,0.0307763335012327
2018-03-02,336.142325863388,0.0304231210013828
2018-03-03,333.829522755067,0.0291098072326038
2018-03-04,334.942029038465,0.029085230919258
2018-03-05,330.824229066734,0.0289279372049802
2018-03-06,305.968622138526,0.0285053133519655
2018-03-07,272.437573027697,0.0275115547769687
2018-03-08,249.016009617145,0.0267276902124065
2018-03-09,255.221577099691,0.027579953176364
2018-03-10,240.125914113479,0.0273157482710211
2018-03-11,255.108501483986,0.0266992050667129
2018-03-12,244.23959572252,0.0267770166909894
2018-03-13,251.682779107253,0.0274759259821108
2018-03-14,222.405891106612,0.0270734422052843
2018-03-15,220.008914098782,0.0265430110980016
2018-03-16,222.59827781363,0.0269078005197417
