date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-08-24,575,8639,5653868,654.4586179,631807780.4473470203630505783,0.14867256637167986,0.7532740489740653909646587441,0.1,0.506666473417085,117.6,595.83977273849196,34556,10.11488,175083.6665540078926,34556,175083.6665540078926,169.02791401,260.7047520310815,0.0007564747030654027,5.06666473417085,42.318825754116105,0.32012776898569417,124698951.59754263,791,750,737741.7648935601,3737890.183111163402911578143,984.44745216,4987.865188503416972641536,73.7927,373.882870729249282795,738335.58912165,3740898.891385922726292533902,0.06930106640432517,0.08430421804404409,0.06770754374102368
2018-08-25,7561,8638,7105204,822.55197962,624170813.2064147455586727481,0.10350257069410332,0.5179296210354286897965538589,0.1,0.500402663974544,966.3,4835.390941986018672,34552,10.110865,172899.12845648444288,34552,172899.12845648444288,248.60031298,257.39495605852017,0.000741838549698061,5.00402663974544,15.430723760111281,4.660711475613501,124733711.09754263,9336,9292,501743.98254552996,2510740.254989802984561344293,53.99741525,270.20450438839667797396,0.34742398,1.7385188512063869516512,501743.9825456,2510740.254990153466587192064,0.06923049280830107,0.08370556162441017,0.06744606476609355
2018-08-26,1112,8640,5860327,678.27858796,600040862.6821022068887272593,0.11237062592409663,0.5404184906974474053562850796,0.1,0.480925051589982,228,1096.50911762515896,34560,10.110135,166207.6978294977792,34560,166207.6978294977792,134.27898661,246.19397910045106,0.0007188855680748525,4.80925051589982,-17.22563683378409,-0.450851665955819,124768061.19754263,2029,2001,929170.4111235399,4468613.279054732112035232173,464.3535288,2233.192447941301924284816,1.56678135,7.535044015789716444357,929171.41112354,4468618.088305248492780283763,0.06925291935418736,0.08402158428630523,0.06762705146922424
2018-08-27,4240,8638,6558335,759.24230146,630440353.3780974983735257472,0.11325658468516693,0.572114508727224664456827933,0.1,0.50514900331632,649.3,3279.93247853286576,34552,10.105025,174539.0836258548864,34552,174539.0836258548864,195.9646402,260.2814105242286,0.0007386127546304322,5.0514900331632,-26.982371470046996,2.179841195029065,124802850.09754263,5733,5681,636864.1300287206,3217112.805319234340662467002,112.10422989,566.293399964771096688048,1.9,9.59783106301008,636864.13002872,3217112.805319231309768447104,0.06913015979590234,0.08440411168359516,0.06699907518429324
2018-08-28,1312,8639,5819069,673.58131728,623464713.286161476934782545,0.11211550533584115,0.5599297647030625366702876525,0.1,0.499422236938412,178.6,891.968115172003832,34556,10.103565,172580.34819643765072,34556,172580.34819643765072,514.38924209,260.67878250668275,0.0007041083901283487,4.99422236938412,-19.980216635515106,-2.76984605159769,124837195.29754263,1593,1571,242690.13634389,1212048.507757537449647825027,154.48130894,771.5140087598870392500328,1.74287655,8.704313053085020690386,242690.1363439,1212048.507757587391871518868,0.06874808471486461,0.08412911856125099,0.06687532438642388
2018-08-29,7134,8024,6459761,805.05496012,608870190.5086742659440282899,0.10269838097143277,0.5007625971640112370949753621,0.1,0.487605152512878,1027.6,5010.630547222334328,32096,9.38196,156501.74975053332288,32096,156501.74975053332288,288.70371557,259.1586529465752,0.0006932681301244511,4.87605152512878,-19.568894384602203,0.305857344759349,124869515.29754263,10006,9962,432517.86715804006,2108979.405801408301506703899,43.41677044,211.7024097201281326972632,0.68175971,3.3242954737168547654538,432517.86715804,2108979.405801408008943612391,0.06871852414718178,0.08362851621028919,0.0664987847218951
2018-08-30,1475,8591,5837340,679.47153998,570875267.3313884623703820387,0.11797180892717253,0.5391920543752079998051344099,0.1,0.45705161197288,301.3,1377.09650687428744,34364,10.04188,157061.2159383604832,34364,157061.2159383604832,340.58067038,245.63880551761233,0.0006560269706944481,4.5705161197288,-25.315365293055557,0.8142956456777012,124903895.39754263,2554,2528,366738.06313952,1676182.229297294606338962176,145.07043637,663.046767925176182056456,0.10000001,0.457051657678041197288,366738.06313953,1676182.229297340311500159464,0.0688397280706568,0.08348783388915462,0.066957628667302
2018-08-31,318,8636,5609661,649.56704493,564608678.1372524342505082256,0.15386666666666765,0.6953391931855730597838385993,0.1,0.451910220874503,57.7,260.752197444588231,34544,10.091885,156107.86669888831632,34544,156107.86669888831632,390.26055627,243.3314041629352,0.0006432756794643375,4.51910220874503,-36.86779825828211,1.3662264705898401,124938240.39754263,375,336,320140.57887913,1446747.997121588883601358224,952.7993419,4305.797610471101008895757,3.0770386,13.905451933653714868158,320140.57887913,1446747.997121588883601358224,0.06883812300623085,0.08345534586654017,0.06588196290093491
2018-09-01,424,8638,5627660,651.5003473,589705589.1317487373798239667,0.1251497005988034,0.5905394536031460945623277482,0.1,0.471866453357534,62.7,295.860266255173818,34552,10.09152,163039.29696409514768,34552,163039.29696409514768,393.17146965,259.5720366040937,0.0006560669130881234,4.71866453357534,-37.87295743032628,12.171737438448266,124972984.39754263,501,466,317858.73097403994,1499868.720534467650882052159,682.10028106,3218.6024045795932206850604,3.0629986,14.453262860210919414524,317858.73097404,1499868.720534467934001924174,0.06894036015074693,0.08305370284552659,0.06583431461388685
2018-09-02,913,8562,5782390,675.35505723,568685747.7217192300364678918,0.13197411003235893,0.6003791361951946319910080016,0.1,0.454921905552526,203.9,927.585765421600514,34248,9.999905,155801.65421362910448,34248,155801.65421362910448,115.45410516,260.6451789281709,0.000624320908537648,4.54921905552526,-31.65647900418285,12.944320843919616,125007334.39754263,1545,1484,1082744.8207241402,4925643.370709540040865072881,729.61241289,3319.1666918669518349446014,2.41081238,10.9673136183922042107188,1082744.82072414,4925643.370709539131021261776,0.06865476600640942,0.08292837324547633,0.06575249507918263
2018-09-03,288,8591,5570948,648.46327552,548516338.2518007514553894038,0.17729885057471367,0.7777511696364060165008427911,0.1,0.438666786115831,61.7,270.657407033467727,34364,10.03093,150743.45438084416484,34364,150743.45438084416484,702.98065638,257.5399801609489,0.0006044348418751511,4.38666786115831,-39.02639594268568,17.60030858567745,125041684.39754263,348,304,177873.57769011002,780272.3066024514083721885373,585.11045293,2566.6852190958131185333483,13,57.02668219505803,177873.57769011,780272.3066024513206388313141,0.06850976165986947,0.08189196147393517,0.06571349091227156
2018-09-04,294,8615,5600939,650.13801509,556922757.2058064831240334744,0.23399014778325083,1.041881547037309911638654447,0.1,0.445267271681209,95,423.00390809714855,34460,10.056115,153439.1018213446214,34460,153439.1018213446214,648.35803156,263.7540291054515,0.0006050804167959978,4.45267271681209,-28.10232671991998,17.620505197156366,125076059.39754263,406,357,192912.02284869997,858974.1008834368771242192786,540.3698119,2406.089918436011040945871,9.9,44.081459896439691,192912.0228487,858974.100883437010704400783,0.06848787315346934,0.08189264420311942,0.06573992725065655
2018-09-05,1047,8637,5873011,679.98274864,472897535.7806591487641932615,0.13262823902696536,0.5013120227171563487200836062,0.1,0.3779828688031,250.8,947.9810349581748,34548,10.07911,130585.521514094988,34548,130585.521514094988,40.38288576,212.77747992022722,0.000556602243445574,3.779828688031,-40.23867452327338,0.08540179057423346,125110838.29754263,1891,1840,3098115.3515222194,11710345.284512930933447336,1683.75834322,6364.31808941450280399982,2.1107054,7.9781048229019470674,3098115.35152222,11710345.28451293320134454882,0.06940791408329094,0.08753263551314205,0.06889475855202554
