date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-29,881,4320,3030787,701.571064814815,,0.14939399,,0.171246,,61.400928,,0,0,,0,,16.719054227962,,,,,,31112481406.953012,31112481406.953012,25169911925.273356,411,761,1860899604.890263,,3663025.26678394,,10655180.536139,,2787562228.022581,,,,
2017-10-30,1195,4320,2973620,688.337962962963,,0.16306607,,0.171246,,93.926058,,0,0,,0,,3.22214703122,,,,,,31112481313.026954,31112481313.026954,26024259129.411592,576,1106,9655822968.838213,,107910137.68483054,,11104000.418596,,119348612279.422572,,,,
2017-10-31,1328,4320,3106679,719.138657407407,,0.1613162,,0.171246,,100.983941,,0,0,,0,,7.253844735643,,,,,,31112481212.043013,31112481212.043013,26034259284.770143,626,1205,4289102172.144448,,8616891.25889524,,10402957.2137575,,10383353966.968763,,,,
2017-11-01,1245,4320,2975153,688.692824074074,,0.16584382,,0.171246,,95.194351,,0,0,,0,,9.790887738137,,,,,,31112481116.848662,31112481116.848662,26034259189.575792,574,1112,3177697666.337232,,4627320.13948941,,9964313.900548,,5145579995.11222,,,,
2017-11-02,1017,4319,3070905,711.022227367446,,0.1639963,,0.171246,,75.110304,,0,0,,0,,11.487157426343,,,,,,31112481041.738358,31112481041.738358,26034259114.465488,458,883,2708457792.211345,,4503100.63279434,,9617669.0530595,,3976237858.757398,,,,
2017-11-03,830,4320,3026305,700.533564814815,,0.15890304,,0.171246,,59.906445,,0,0,,0,,20.096324846501,,,,,,31112480981.831913,31112480981.831913,26034259054.559043,377,717,1548167698.29677,,3426393.12443366,,9295445.783332,,2456723870.218931,,,,
2017-11-04,774,4320,2879091,666.45625,,0.15606892,,0.171246,,55.404465,,0,0,,0,,21.418744953311,,,,,,31112480926.427448,31112480926.427448,26034258999.154578,355,672,1452581885.364757,,3370407.94251653,,8875067.362699,,2264914137.371107,,,,
2017-11-05,813,4320,3012785,697.403935185185,,0.15906078,,0.171246,,60.284034,,0,0,,0,,24.023873007738,,,,,,31112480866.143414,31112480866.143414,26034258938.870544,379,728,1295065156.901304,,3461846.03166314,,8571392.464864,,2520223911.050769,,,,
2017-11-06,1046,4320,2929428,678.108333333333,,0.1669989,,0.171246,,78.82348,,0,0,,0,,16.80356439388,,,,,,31112480787.319934,31112480787.319934,26034258860.047064,472,919,1851540545.686291,,3231319.28897541,,8174292.575471001,,2969582426.568402,,,,
2017-11-07,858,4320,3043886,704.603240740741,,0.1584344,,0.171246,,63.690628,,0,0,,0,,17.337817742313,,,,,,31112480723.629306,31112480723.629306,26034258796.356436,402,764,1794486548.771297,,3511762.25487321,,7849794.190521,,2682986362.723131,,,,
2017-11-08,790,4320,3022226,699.589351851852,,0.16283501,,0.171246,,57.969264,,0,0,,0,,22.723874892004,,,,,,31112480665.660042,31112480665.660042,26034258738.387172,356,681,1369153844.294754,,3033702.68986674,,7628611.825863499,,2065951531.799247,,,,
2017-11-09,1333,4320,2981236,690.100925925926,,0.16204843,,0.171246,,95.284479,,0,0,,0,,18.172940799529,,,,,,31112480570.375563,31112480570.375563,26034258643.102693,588,1128,1712022336.592937,,2996917.45274455,,7319969.2967925,,3380522886.695851,,,,
2017-11-10,1160,4320,3075419,711.902546296296,,0.1612505,,0.171246,,88.204026,,0,0,,0,,8.041568942797,,,,,,31112480482.171537,31112480482.171537,26035258555.069913,547,1041,3868956506.30937,,5481539.72810713,,7197013.827847,,5706282856.959518,,,,
2017-11-11,737,4320,2875947,665.728472222222,,0.1572096,,0.171246,,52.508007,,0,0,,0,,33.087552319264,,,,,,31112480429.66353,31112480429.66353,26035258502.561906,334,637,940307706.337922,,2588810.93688558,,6075209.9184995,,1649072566.796114,,,,
2017-11-12,800,4320,3046229,705.145601851852,,0.15543948,,0.171246,,61.243157,,0,0,,0,,29.782489468776,,,,,,31112480368.420373,31112480368.420373,26035258441.318749,394,734,1044656807.519034,,6119977.95482487,,8201235.4922745,,4492063818.841453,,,,
