date,Price_in_USD_or_index_value
2006-01-02,101.4155
2006-01-03,100.7558
2006-01-04,100.2288
2006-01-05,100.2992
2006-01-06,100.0241
2006-01-07,100.0759
2006-01-08,100.1276
2006-01-09,100.1794
2006-01-10,100.1436
2006-01-11,99.871
2006-01-12,100.0643
2006-01-13,99.9675
2006-01-14,99.9688
2006-01-15,99.9702
2006-01-16,99.9715
2006-01-17,100.2447
2006-01-18,100.4085
2006-01-19,100.1862
2006-01-20,99.9017
2006-01-21,99.7272
2006-01-22,99.5528
2006-01-23,99.3783
2006-01-24,99.3434
2006-01-25,99.348
2006-01-26,99.4798
2006-01-27,99.6433
2006-01-28,99.667
2006-01-29,99.6907
2006-01-30,99.7144
2006-01-31,99.4311
2006-02-01,99.6132
2006-02-02,99.7916
2006-02-03,100.118
2006-02-04,100.1244
2006-02-05,100.1308
2006-02-06,100.1372
2006-02-07,100.1759
2006-02-08,100.4879
2006-02-09,100.2117
2006-02-10,100.322
2006-02-11,100.3465
2006-02-12,100.371
2006-02-13,100.3955
2006-02-14,100.3987
2006-02-15,100.4489
2006-02-16,100.5183
2006-02-17,100.3404
2006-02-18,100.3418
2006-02-19,100.3433
2006-02-20,100.3447
2006-02-21,100.2346
2006-02-22,100.3879
2006-02-23,100.1956
2006-02-24,100.2594
2006-02-25,100.1971
2006-02-26,100.1347
2006-02-27,100.0724
2006-02-28,99.7695
2006-03-01,99.8355
2006-03-02,99.5969
2006-03-03,99.7024
2006-03-04,99.7961
2006-03-05,99.8897
2006-03-06,99.9834
2006-03-07,100.564
2006-03-08,100.8565
2006-03-09,100.7718
2006-03-10,100.9566
2006-03-11,100.9232
2006-03-12,100.8897
2006-03-13,100.8563
2006-03-14,100.312
2006-03-15,100.2121
2006-03-16,99.9049
2006-03-17,99.8614
2006-03-18,99.924
2006-03-19,99.9865
2006-03-20,100.0491
2006-03-21,100.4716
2006-03-22,100.496
2006-03-23,100.8256
2006-03-24,100.7773
2006-03-25,100.7968
2006-03-26,100.8164
2006-03-27,100.8359
2006-03-28,100.7995
2006-03-29,101.0474
