date,AdrActCnt,BlkCnt,IssContNtv,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-22,82088,28763,1381216,23327.3740283063915296,1381216,23327.3740283063915296,0.0000016809982740999708,0.0168890123111131,-27.042208923328225,-6.4924348890370425,1913607,160353,809455697.8301241,13670907.24595361135098238214,5457.71671013,92.175444707953256170345703,0.0001,0.00000168890123111131,875161247.619137,14780609.08524870496930133139,0.05323852025246913,0.039833130756884494,0.03987975558338539
2019-09-23,92620,28775,1381600,22116.39716012466696,1381600,22116.39716012466696,0.000001651526115171487,0.0160078149682431,-32.72127189909083,-9.985914840708093,2131844,173069,4750638165.836657,76047336.73978698430579686732,27861.71106032,446.005115352254828828523792,0.000343,0.0000054906805341073833,4821998471.49935,77189659.30891264416069229198,0.053255087789173115,0.040863889887822434,0.040195660651638994
2019-09-24,83452,28771,1381472,17622.935927043350528,1381472,17622.935927043350528,0.0000014809755304779215,0.012756636346624,-42.00860897633214,-27.380085157359364,2248591,176981,1339564045.8762536,17088331.39625571605670012785,9078.5119611,115.8112756562289896043264,0.028987,0.000369776617779589888,1606724125.386889,20496395.37690804538350901274,0.055829306531988414,0.057766539166536936,0.04923612496079527
2019-09-25,98997,28772,1381504,18180.6742499612847872,1381504,18180.6742499612847872,0.000001562181006772456,0.0131600590732718,-37.96376524652255,-25.597761432286504,2219033,175283,800147965.9043453,10529994.49865945423252270795,5699.94432431,75.011604022279914831977458,0.02397,0.000315446615986325046,999103340.998425,13148258.98784249208804339692,0.05588094783358245,0.05818866653812853,0.04911143264438537
2019-09-26,93337,28768,1381376,17751.7108286987496448,1381376,17751.7108286987496448,0.0000015881400126607526,0.0128507450749823,-38.844761578949736,-27.0972351897442,2380965,166152,749014502.5053028,9625394.42916033756178936614,5678.74397697,72.976091194132627154357631,0.006904,0.0000887215439976777992,943534669.261618,12125123.50408879083638541936,0.05590208149853431,0.05822978699510291,0.04901028087699
2019-09-27,91975,28770,1381440,18856.759505342292576,1381440,18856.759505342292576,0.000001667331420550639,0.0136500749256879,-39.32602858770387,-14.749329379012286,2389910,186692,578838305.6510922,7901186.241995642308540471324,3982.72921919,54.364552250669967240630801,0.123615,0.0016873540119389097585,743543683.389339,10149426.9887864389960281013,0.05609547483207672,0.05729904833593303,0.049816158851906524
2019-09-28,85576,28719,1379808,18751.5148298724416736,1379808,18751.5148298724416736,0.0000016569104818762397,0.0135899449995017,-37.990267670068455,-11.952178473288294,2489169,170539,481177770.0405093,6539179.429833398276177314216,3355.57748478,45.602113459726452839334126,0.000209,0.0000028402985048958553,572256828.676592,7776938.827304152489710454206,0.056026231802330156,0.05699172083123768,0.04978817139666513
2019-09-29,85551,28708,1379456,18418.75110616851232,1379456,18418.75110616851232,0.000001655672541713988,0.0133521845612825,-39.294277177556964,-14.223467031607681,2412317,166338,346747627.204013,4629838.314614762180528426672,2556.426158,34.133873878906337027635,0.0001,0.00000133521845612825,425230814.268591,5677760.313258666962454427958,0.05537694517969324,0.05699020714363289,0.04972588439635041
2019-09-30,89298,28763,1381216,20001.5435092066090176,1381216,20001.5435092066090176,0.0000017484270671386977,0.0144811119399186,-34.617743699768326,-6.617000670020354,2181296,192474,736970075.2313154,10672146.15579491033672204693,4585.89926946,66.408920666241191151865956,0.017158,0.0002484669186651233388,882666375.990471,12781990.59632028988131811566,0.055671242127746566,0.05912884538658036,0.051056054206251034
2019-10-01,90084,28765,1381280,19352.547675703606544,1381280,19352.547675703606544,0.0000016850686567517254,0.0140105899424473,-36.12307709555684,-9.993089845302006,2218578,176181,462701990.8889849,6482727.859899554079054518746,3195.15699119,44.766034405306790333139287,0.000604,0.0000084623963252381692,562925953.865555,7886924.707571297682411872752,0.05571546329437957,0.05938008839851665,0.05115746740271713
