date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-23,67,38067802.577110205643996,0,0,36.43915317,,0.0001271766859410318,1.00437422644566,,0.009814686395566773,37902010.6,37902010.6,37411195.1,5184,5200,1040145.2091789999,1044695.039860317233939290495,200.71588512,201.5938618527559584825792,78.796242,79.14091460557502520972,1043722.602637,1048288.08164738784905320542,,0.006902870191362502,
2019-05-24,68,38020245.949618808565458,0,0,36.95586307,,0.0001255924496446112,1.00311950072693,,-0.15613716395516736,37902010.6,37902010.6,37411195.1,4793,4806,1025602.0954760001,1028801.461958378413576318753,216.22558605,216.9001019228638402673265,78.820028,79.06590713464264295404,1039180.166572,1042421.88985703259248618396,,0.006906148580888483,
2019-05-25,57,38101926.152382604189208,0,0,39.80211603,,0.00012469926122633476,1.00527453687068,,2.440574753482945,37902010.6,37902010.6,37411195.1,3975,3980,952261.1957210002,957283.9325083484394012676541,240.18688943,241.4537640341524753689124,99.303988,99.82777054611156427184,955943.819938,960985.98086256166391161784,,0.005300723345751745,
2019-05-26,116,38282998.273735127857518,0,0,15.09951045,,0.00011567875223016578,1.01005191196203,,4.05749849324653,37902010.6,37902010.6,37411195.1,9244,9347,2510148.308277,2535380.09808343894435872231,269.09448144,271.7993954769029958197232,94.42968,95.3788788299626650504,2515226.118022,2540508.94952495562236270466,,0.004859119160122266,
2019-05-27,207,37996566.4292805718043,0,0,10.55776714,,0.0001137029597716372,1.0024947444155,,2.579830139934979,37902010.6,37902010.6,37411195.1,14729,14906,3589964.62908,3598920.67329023985890274,248.68836377,249.308777676715040026435,80.473773,80.6745344957859646815,3706948.750346,3716196.640039470387192763,,0.005003765769677168,
2019-05-28,161,37915646.201053338910278,0,0,10.46972322,,0.00011473165735963513,1.00035975930663,,3.111655940433656,37902010.6,37902010.6,37411195.1,14307,14357,3620154.0193390003,3621456.403438891506358845362,253.31120812,253.4023391845948588258356,107.61216,107.6508744760665566208,3636789.014984,3638097.38367839024452054392,,0.004798098557395175,
2019-05-29,147,37980820.176097558692662,0,0,18.04573511,,0.00011577385809279206,1.00207929803327,,1.9002730213950523,37902010.6,37902010.6,37411195.1,9420,9459,2100330.6521480004,2104697.865542228433732683173,223.54978649,224.0146131213865854165223,89.414415,89.60033421725548758705,2114557.430409,2118954.22551528589859170743,,0.004180674976453545,
2019-05-30,184,37934952.437116842099574,0,0,15.47047696,,0.0001210003474660826,1.00086913165279,,1.0732407755876823,37902010.6,37902010.6,37411195.1,10566,10621,2449957.4697380005,2452086.805322939094782834846,239.12466085,239.3324916617074087062715,70.546732,70.60804639778209318228,2539743.022889,2541950.39394014538737071031,,0.0040178983391952585,
2019-05-31,139,37860232.1607760394150056,0,0,20.6508562,,0.00011674518301691714,0.998897724987076,,1.1810320942855377,37902010.6,37902010.6,37411195.1,8508,8544,1835372.356361,1833349.271273171826391390436,217.83820653,217.59808891808180326880628,70.082531,70.005280777236228369356,1861209.636565,1859158.07168880104128203394,,0.0039914822195000615,
2019-06-01,178,37951316.800644040049258,0,0,13.53597653,,0.00011704540471433705,1.00130088614993,,2.055307958248947,37902010.6,37902010.6,37411195.1,14285,14367,2800094.2906629997,2803736.894544221264026837745,196.01168746,196.2666763494411218608778,67.744952,67.83308046978447265336,2816099.913765,2819763.33913963595586078645,,0.0038063012819466477,
