Date,Miner,Hashrate
2021-03-02,RD5x3KxkvhDNUE3XA4wpWJK45H7MBtDG7N,75.63 GH/s
2021-03-02,RBKNZ1gEjpVQjZsptuNN5UKRrswWP5Lhp9,40.70 GH/s
2021-03-02,RAGfpNwJVVwsDu8ypKgpXF7vbKuVkH8NAo,37.22 GH/s
2021-03-02,RTJawcxuVboZcf3HjhoC65rKGGWCMt7ksU,30.22 GH/s
2021-03-02,RVanpaV1WZ1SrnvYzNeFwxt6PLb1yHyaCk,24.50 GH/s
2021-03-02,RTq3JrK8tJJ465ZodDPXbkM5Hxqk6qmgz4,19.62 GH/s
2021-03-02,RUoyrwmGCo19KcQFrswCuYL9kLfbUgQBmi,13.61 GH/s
2021-03-02,RVcoGBmbC7VgurfqD6q9fMhGWTj37KWTkw,12.91 GH/s
2021-03-02,RWd2AeZKMbdoVz4ymBt2XRDwUWGEwiXT69,12.82 GH/s
2021-03-02,RTF5cAu2MXgMbZzGFc4ZmJxwc7pKaYCMMJ,10.50 GH/s
2021-03-02,RJtCUdr5EFhb7VmWEMVHZjohERTKhxE1X8,9.22 GH/s
2021-03-02,RY8FoprPzmmqe7iuPe3t1KL7fCd7Q5ebX5,8.54 GH/s
2021-03-02,RFK27yF5jDzYTi2VUkStq5EBYz4CFiggkw,8.38 GH/s
2021-03-02,RJ7cFBjYCShXNmHjcba6baAmVGXvpJZ3kd,7.72 GH/s
2021-03-02,RFnQ4X3jb1HLbRy52RKkS8L8stCRqg8Goc,7.23 GH/s
2021-03-02,RSg8WMygEw1RaXQBqgf9XK9xrw9ub5S7CF,7.20 GH/s
2021-03-02,RTiV6FKdedtE4aZ2gr2fR72WsUpc16wL6F,6.71 GH/s
2021-03-02,RE8Ng16kUXuv7CNVeuRRBPe7j1UDxbuif8,6.05 GH/s
2021-03-02,RPfe26qL6YdcWyhz2v332gAyBa1tQ6GFyd,5.53 GH/s
2021-03-02,RPboLkx74FaK4dk6PYghNK9KBTEXTpouKc,5.36 GH/s
2021-03-02,R9pELUokEDsAzvMCpoDjHvfA3efMhv5khy,5.34 GH/s
2021-03-02,RCQAaUTuVJx9fsf8G6n3iaiSoeMUHUikeP,5.05 GH/s
2021-03-02,RULMkDUqGWf8sByJG1AJG9BB5Wy2296BXx,5.05 GH/s
2021-03-02,RN5nXtjgp7e7Rv92Zed4DmxZYnXHQ7aXco,4.92 GH/s
2021-03-02,RQwgrdRcFQVAzebRX5J5EH6bREpNG7WEfn,4.89 GH/s
2021-03-02,RFY4srAgj7CBGUsKnfXucvX2EQAka9qt47,4.81 GH/s
2021-03-02,RC64kmGa7WpLQHqNmooxrBmjirR2B7RwHF,4.75 GH/s
