Date,Miner,Hashrate
2021-03-01,RD5x3KxkvhDNUE3XA4wpWJK45H7MBtDG7N,210.06 GH/s
2021-03-01,RGEzmH3cWtcuYZG9LZJ9hR1c46KHqnuwj7,49.86 GH/s
2021-03-01,RBKNZ1gEjpVQjZsptuNN5UKRrswWP5Lhp9,44.52 GH/s
2021-03-01,RAGfpNwJVVwsDu8ypKgpXF7vbKuVkH8NAo,38.13 GH/s
2021-03-01,RDBw77D3ZtBPNGVGYrqo1EjSD6mKdLKcXj,33.62 GH/s
2021-03-01,RTFBAqzfHaQR6iYKbsv1FtrCJBCcnnvYxY,30.25 GH/s
2021-03-01,rMBRs1vxGc9dDR3idwXbJw4YrhtpzK1dQ7,30.24 GH/s
2021-03-01,RVanpaV1WZ1SrnvYzNeFwxt6PLb1yHyaCk,27.03 GH/s
2021-03-01,RLPEpRDBaJBXXsFr2iNXhhAYymvJfQycgx,26.02 GH/s
2021-03-01,RTq3JrK8tJJ465ZodDPXbkM5Hxqk6qmgz4,21.92 GH/s
2021-03-01,RUoyrwmGCo19KcQFrswCuYL9kLfbUgQBmi,15.57 GH/s
2021-03-01,RWd2AeZKMbdoVz4ymBt2XRDwUWGEwiXT69,14.75 GH/s
2021-03-01,RVcoGBmbC7VgurfqD6q9fMhGWTj37KWTkw,14.10 GH/s
2021-03-01,RTF5cAu2MXgMbZzGFc4ZmJxwc7pKaYCMMJ,11.98 GH/s
2021-03-01,rTWxL9X5woZ14ibeuQ4tQkBeiZkYqWDjbG,11.89 GH/s
2021-03-01,RJVgnRfL4XHvqapawJqPLS4V8gTfLypZSN,10.32 GH/s
2021-03-01,REekBHtTX85gXQ3DFZHtVghRsoV5dhVnGv,9.60 GH/s
2021-03-01,RFK27yF5jDzYTi2VUkStq5EBYz4CFiggkw,9.25 GH/s
2021-03-01,RY8FoprPzmmqe7iuPe3t1KL7fCd7Q5ebX5,9.18 GH/s
2021-03-01,RFnQ4X3jb1HLbRy52RKkS8L8stCRqg8Goc,8.56 GH/s
2021-03-01,RJ7cFBjYCShXNmHjcba6baAmVGXvpJZ3kd,8.10 GH/s
2021-03-01,RSg8WMygEw1RaXQBqgf9XK9xrw9ub5S7CF,7.81 GH/s
2021-03-01,RTiV6FKdedtE4aZ2gr2fR72WsUpc16wL6F,7.13 GH/s
2021-03-01,RULMkDUqGWf8sByJG1AJG9BB5Wy2296BXx,6.07 GH/s
