Date,Miner,Hashrate
2021-02-28,RCNUqhy15BsiMA6VJndSJK7PhYC5sX17ZV,2.69 GH/s
2021-02-28,RX9ZqYzrrYG1VJgLANeEZp1vvL9cAYoYdi,2.63 GH/s
2021-02-28,RCdkywK6sa2qkGAkP4WuY55u2nkYu2fVC9,2.61 GH/s
2021-02-28,RCa9ZLbAcqzU96Cdib5v2AWt3e8yBGg4AG,2.56 GH/s
2021-02-28,RB9VdeYVkwL3ZkhMb2b69UGvwsRaH4SYtu,2.56 GH/s
2021-02-28,RHPXfpjmTff4hJwgAesQcFCUn1r61ag9jG,2.52 GH/s
2021-02-28,REKQL5mJSfsE1HLigMNWGqywYXZKrovE6w,2.51 GH/s
2021-02-28,RBRFFhfx2qqsWTyGxNxj9gAtBtnJ2ooJ83,2.51 GH/s
2021-02-28,RCWLUngQx4qUsVRWnQ7DrEDb1aHoJ85V6y,2.48 GH/s
2021-02-28,R9kks7qoNjEe8FBYzfqxtK6oyTcYz4mXTh,2.44 GH/s
2021-02-28,RJ85uo3yK5zXnPSUGNKAC7aj1tZ1vMKeiH,2.40 GH/s
2021-02-28,RWLPvbYAFCorRfB3ore6dMy5jwxSKBFs4y,2.39 GH/s
2021-02-28,RBwTgEPPkdDjMJ5iBKAoQoqzguXGciM4qa,2.39 GH/s
2021-02-28,RDEBrrrsz8F8zrwm2r61mhe22RqZXnzVyZ,2.36 GH/s
2021-02-28,RDdLsBnAcuYCLEadyZp7xhQMwtFf8KbkAr,2.35 GH/s
2021-02-28,RLFdpaFmpcaQmmxW1VZy8WPTJcnARZxBSx,2.34 GH/s
2021-02-28,RSQLa4mhXDLi6Q2F8gHg6c9oSADL5S2bKZ,2.32 GH/s
2021-02-28,REwQ6UXHwzXKdbhQoUiwgPCt1uiaxW1J4Y,2.32 GH/s
2021-02-28,RNBNSGcwP8PCSWJZBQabTjrpdczjam8LeK,2.31 GH/s
2021-02-28,RQuNrXFtkqGgtscKenUeMvwfmLTF3yQvmk,2.29 GH/s
2021-02-28,RMQbnKXwcbPC5he3xXrH4jKNtpevZjHyuY,2.25 GH/s
2021-02-28,RJocPhPNpjaVuzx9MbivR6qSvvaTLzTX9u,2.19 GH/s
2021-02-28,RWTFEZnrA3khSVhNXuR2j8LAiK9vr3AdKw,2.18 GH/s
2021-02-28,RMwzNbnpjdKvEAJ8YRzoqbcAP6UMPvGKxL,2.11 GH/s
2021-02-28,REoEqQzq4KHLF5FqCkqmtQQ3fxbLpEQuMo,2.11 GH/s
2021-02-28,RVZdLtJ2E82z2bPn2cehsfuxyyXfCUJ4oe,2.10 GH/s
2021-02-28,RReQNrmpR8RUYxXZLFcK2SKGXKvuFzpBse,2.06 GH/s
2021-02-28,RVggK1AAkNNZhHCqx3dXNygcJx3kmnzD5q,2.04 GH/s
2021-02-28,RCcsFDXLTYRD5Y8GZYdxP5ryjF9bQkLpNy,2.00 GH/s
2021-02-28,RQstF2WPrqki3CsNfnjhSdoTUJNuhQL9ze,1.97 GH/s
2021-02-28,RBUNt57f2WmsgAu8CW74T28QEnWGgpCqmm,1.97 GH/s
2021-02-28,RMM9JaHwYSNZGcbRT4u9Dc2vhMQent9YGT,1.96 GH/s
2021-02-28,RRyYBqEkoY4EogYNFNU82aBQYXD82LgHyx,1.95 GH/s
2021-02-28,RAhWAxDKhDZn7G578CkVfqFuiZRFnvNY5x,1.95 GH/s
2021-02-28,RT3fpoBbV3unQStdDye4wVJGgyLyv4FWVu,1.95 GH/s
2021-02-28,RPreszMFCY4B8VdQfNrvhDr4nb736MBGYe,1.94 GH/s
2021-02-28,RBbS34mAo8geq8ZHeGLMUYHu4qXtkrMFrj,1.93 GH/s
2021-02-28,RRvEGWfPWTBMgVhNWUXpL7JwZaPTnWtPJ8,1.91 GH/s
2021-02-28,RFPUQhydMiKFM8b93xaAf26zV6hMHSqq5u,1.91 GH/s
2021-02-28,RHaZbd9JzHYw6vhs64iWnXK3uiUD9qmYkY,1.90 GH/s
2021-02-28,RM6j1AvUnxggYaqRjgu4FsWvLysRtYcKud,1.89 GH/s
2021-02-28,RKiVd6PybX5tAAgmaPABmbK4i63TWa98hV,1.88 GH/s
2021-02-28,RAkF1LMUftQsGaVZr7bbP8H9KpAqdyMxtb,1.87 GH/s
2021-02-28,RJS7hvgV2h5r1YwMiUZoDQFFWGYhseLAAr,1.85 GH/s
2021-02-28,R9SMfQrJBd2EYH1s4Jg8BVmjzQkCJbzFgr,1.85 GH/s
2021-02-28,RP76V6hhBmHrXDGdPGEHZMmjSWXeGKxSd4,1.84 GH/s
2021-02-28,RSVT4STfgdgbeWPfaPkyQMknfr6QZG8z57,1.81 GH/s
2021-02-28,RQGB4i4i4XEGkdySCGK7uNgzCir9266NSF,1.80 GH/s
2021-02-28,RNDGsgmH7ZoBh1h9bEdHM8b4wQUBZnHqqp,1.80 GH/s
2021-02-28,RRGSk2WnmMDcNAWtTxu5j8pwzw8aAJAALp,1.74 GH/s
2021-02-28,RRbJcUiVgDDV6u5jshSH2DmQadggb21yp8,1.73 GH/s
2021-02-28,rJuuurVBpZyrdPd4DfRpbUem8hfxsKYFg8,1.72 GH/s
2021-02-28,RJVoPDjrdQrcLNxjSWxeFWx37riQ7tqryd,1.71 GH/s
2021-02-28,RPFXt6kf3ax3yYPPAde22ftCFmHg9hgWe2,1.71 GH/s
2021-02-28,RRRmutYoNivnC3d1zvMRyCbk6vMAkLsXEu,1.67 GH/s
