Date,Miner,Hashrate
2021-03-03,RBKNZ1gEjpVQjZsptuNN5UKRrswWP5Lhp9,44.96 GH/s
2021-03-03,rAfHuV3cc151W1uZt4evpZcAQ7DMKD4Eav,39.23 GH/s
2021-03-03,RAGfpNwJVVwsDu8ypKgpXF7vbKuVkH8NAo,37.34 GH/s
2021-03-03,RTJawcxuVboZcf3HjhoC65rKGGWCMt7ksU,33.03 GH/s
2021-03-03,RGEzmH3cWtcuYZG9LZJ9hR1c46KHqnuwj7,27.80 GH/s
2021-03-03,RVanpaV1WZ1SrnvYzNeFwxt6PLb1yHyaCk,27.50 GH/s
2021-03-03,RTq3JrK8tJJ465ZodDPXbkM5Hxqk6qmgz4,21.81 GH/s
2021-03-03,RUoyrwmGCo19KcQFrswCuYL9kLfbUgQBmi,15.31 GH/s
2021-03-03,RWd2AeZKMbdoVz4ymBt2XRDwUWGEwiXT69,14.38 GH/s
2021-03-03,RVcoGBmbC7VgurfqD6q9fMhGWTj37KWTkw,13.68 GH/s
2021-03-03,RTF5cAu2MXgMbZzGFc4ZmJxwc7pKaYCMMJ,11.66 GH/s
2021-03-03,RJtCUdr5EFhb7VmWEMVHZjohERTKhxE1X8,9.65 GH/s
2021-03-03,RFK27yF5jDzYTi2VUkStq5EBYz4CFiggkw,9.38 GH/s
2021-03-03,RY8FoprPzmmqe7iuPe3t1KL7fCd7Q5ebX5,9.37 GH/s
2021-03-03,RFnQ4X3jb1HLbRy52RKkS8L8stCRqg8Goc,8.13 GH/s
2021-03-03,RSg8WMygEw1RaXQBqgf9XK9xrw9ub5S7CF,7.90 GH/s
2021-03-03,RJ7cFBjYCShXNmHjcba6baAmVGXvpJZ3kd,7.75 GH/s
2021-03-03,RTiV6FKdedtE4aZ2gr2fR72WsUpc16wL6F,7.12 GH/s
2021-03-03,RPfe26qL6YdcWyhz2v332gAyBa1tQ6GFyd,6.03 GH/s
2021-03-03,R9pELUokEDsAzvMCpoDjHvfA3efMhv5khy,5.71 GH/s
2021-03-03,RULMkDUqGWf8sByJG1AJG9BB5Wy2296BXx,5.68 GH/s
