Date,Miner,Hashrate
2021-03-04,RBKNZ1gEjpVQjZsptuNN5UKRrswWP5Lhp9,44.25 GH/s
2021-03-04,RAGfpNwJVVwsDu8ypKgpXF7vbKuVkH8NAo,37.83 GH/s
2021-03-04,RTJawcxuVboZcf3HjhoC65rKGGWCMt7ksU,32.83 GH/s
2021-03-04,RVanpaV1WZ1SrnvYzNeFwxt6PLb1yHyaCk,28.12 GH/s
2021-03-04,RTq3JrK8tJJ465ZodDPXbkM5Hxqk6qmgz4,22.05 GH/s
2021-03-04,RUoyrwmGCo19KcQFrswCuYL9kLfbUgQBmi,17.13 GH/s
2021-03-04,RPfe26qL6YdcWyhz2v332gAyBa1tQ6GFyd,14.88 GH/s
2021-03-04,RWd2AeZKMbdoVz4ymBt2XRDwUWGEwiXT69,14.43 GH/s
2021-03-04,RVcoGBmbC7VgurfqD6q9fMhGWTj37KWTkw,14.10 GH/s
2021-03-04,RRV1FjZPDesvFVfMijjvXkSLhqnPp28biz,10.08 GH/s
2021-03-04,RJtCUdr5EFhb7VmWEMVHZjohERTKhxE1X8,9.82 GH/s
2021-03-04,RFK27yF5jDzYTi2VUkStq5EBYz4CFiggkw,9.29 GH/s
2021-03-04,RY8FoprPzmmqe7iuPe3t1KL7fCd7Q5ebX5,9.06 GH/s
2021-03-04,RJ7cFBjYCShXNmHjcba6baAmVGXvpJZ3kd,8.28 GH/s
2021-03-04,rAfHuV3cc151W1uZt4evpZcAQ7DMKD4Eav,8.12 GH/s
2021-03-04,RFnQ4X3jb1HLbRy52RKkS8L8stCRqg8Goc,7.95 GH/s
2021-03-04,RSg8WMygEw1RaXQBqgf9XK9xrw9ub5S7CF,7.49 GH/s
2021-03-04,RPUxdvsyY7knT8j7Vbq8V3fZPMoiPbrXFJ,7.43 GH/s
2021-03-04,RTiV6FKdedtE4aZ2gr2fR72WsUpc16wL6F,7.06 GH/s
2021-03-04,RN5nXtjgp7e7Rv92Zed4DmxZYnXHQ7aXco,6.18 GH/s
2021-03-04,R9pELUokEDsAzvMCpoDjHvfA3efMhv5khy,6.15 GH/s
2021-03-04,RULMkDUqGWf8sByJG1AJG9BB5Wy2296BXx,5.73 GH/s
2021-03-04,RC64kmGa7WpLQHqNmooxrBmjirR2B7RwHF,5.64 GH/s
2021-03-04,REekBHtTX85gXQ3DFZHtVghRsoV5dhVnGv,5.55 GH/s
2021-03-04,RE8Ng16kUXuv7CNVeuRRBPe7j1UDxbuif8,5.44 GH/s
2021-03-04,RPboLkx74FaK4dk6PYghNK9KBTEXTpouKc,5.33 GH/s
2021-03-04,RQwgrdRcFQVAzebRX5J5EH6bREpNG7WEfn,5.27 GH/s
2021-03-04,REbLURJAaxYt2fV4kSi18ohw5tnfU2macT,4.95 GH/s
2021-03-04,RE98Ha5ybHPSAc2Nyn83uL9Dv6v4ShWg1R,4.85 GH/s
